                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.83204,                 1.4111,                0.67624,                 1.0381,                0.72736,                0.63625,                0.70427,                 0.4504,                0.73426,                0.60292,                0.67152,                0.39436,                 1.4365,                 2.6071,                 1.1346,                 1.5558,             0.00057205,             0.00057205,             0.00057205
                    101,                0.86823,                 1.4286,                0.67508,                 1.0478,                0.71754,                0.63823,                 0.6809,                0.44056,                0.69596,                0.62804,                0.66345,                0.38429,                 1.4374,                 2.6603,                 1.1902,                 1.5673,             0.00056655,             0.00056655,             0.00056655
                    102,                0.83733,                 1.4099,                0.65031,                  1.036,                0.69857,                 0.6457,                0.68726,                0.45154,                0.68884,                0.63237,                0.66023,                0.39581,                  1.439,                 2.6465,                   1.09,                 1.5661,             0.00056105,             0.00056105,             0.00056105
                    103,                 0.8434,                 1.4281,                0.68737,                 1.0494,                0.64575,                0.65997,                  0.678,                0.43278,                0.63948,                0.65052,                0.66641,                0.38828,                 1.4555,                 2.5563,                 1.1773,                 1.5696,             0.00055556,             0.00055556,             0.00055556
                    104,                0.82595,                  1.401,                0.64875,                 1.0298,                0.65709,                0.66185,                0.68346,                0.43885,                 0.6608,                0.66638,                0.67855,                0.38749,                 1.4557,                 2.5799,                 1.1402,                 1.5807,             0.00055006,             0.00055006,             0.00055006
                    105,                0.83248,                 1.3985,                0.66042,                 1.0453,                0.64193,                0.64135,                0.66142,                 0.4226,                0.61516,                0.67029,                 0.6602,                0.36082,                 1.4692,                 2.6355,                 1.2309,                 1.5883,             0.00054456,             0.00054456,             0.00054456
                    106,                0.81705,                 1.3885,                0.65039,                 1.0278,                0.68042,                0.63634,                0.68116,                0.43914,                0.67578,                0.62289,                0.66053,                0.38507,                 1.4579,                 2.5635,                 1.1333,                 1.5866,             0.00053906,             0.00053906,             0.00053906
                    107,                0.82284,                 1.3881,                0.62649,                 1.0261,                0.67196,                0.65888,                 0.6898,                0.46156,                0.66951,                0.65561,                0.68507,                0.40336,                 1.4253,                 2.6529,                 1.0839,                 1.5413,             0.00053356,             0.00053356,             0.00053356
                    108,                0.85011,                 1.4336,                 0.6489,                 1.0393,                0.69533,                 0.6437,                0.67688,                0.44072,                0.66809,                0.64716,                0.66426,                0.38773,                 1.4121,                 2.5898,                 1.1153,                 1.5431,             0.00052806,             0.00052806,             0.00052806
                    109,                0.84102,                 1.4227,                0.66747,                 1.0355,                 0.6283,                0.68357,                0.67608,                0.43884,                0.65344,                0.63744,                0.65909,                0.37784,                 1.4294,                 2.6261,                 1.0789,                 1.5693,             0.00052256,             0.00052256,             0.00052256
                    110,                0.84034,                 1.4099,                0.63044,                 1.0301,                 0.6702,                 0.6357,                0.66293,                0.43939,                0.63682,                0.65212,                0.65477,                0.38147,                 1.4524,                  2.662,                 1.2383,                 1.5917,             0.00051706,             0.00051706,             0.00051706
                    111,                0.80525,                 1.3385,                0.62316,                 1.0199,                0.68061,                0.64027,                 0.6783,                0.43965,                0.67961,                0.63294,                0.66175,                0.38762,                 1.4234,                 2.6486,                  1.174,                 1.5337,             0.00051156,             0.00051156,             0.00051156
                    112,                0.81995,                 1.3573,                0.62253,                  1.018,                0.74733,                0.60342,                 0.6854,                0.44042,                0.73799,                0.59797,                0.67173,                0.38662,                 1.4413,                 2.5925,                 1.1366,                 1.5435,             0.00050606,             0.00050606,             0.00050606
                    113,                0.80339,                 1.3376,                 0.6104,                 1.0233,                0.68185,                0.60986,                0.68943,                0.45543,                0.65879,                0.64788,                0.68065,                0.39397,                 1.4298,                 2.7022,                  1.149,                 1.5732,             0.00050056,             0.00050056,             0.00050056
                    114,                0.84853,                 1.4139,                0.62573,                 1.0283,                0.77497,                0.58084,                0.69027,                0.45572,                0.78374,                0.57753,                0.67837,                 0.3982,                 1.3861,                 2.6992,                 1.1823,                 1.5053,             0.00049506,             0.00049506,             0.00049506
                    115,                0.79331,                 1.3163,                0.59462,                 1.0027,                0.72549,                0.62053,                0.66445,                 0.4204,                0.70549,                0.60004,                0.64803,                0.36543,                 1.4183,                 2.7453,                 1.1167,                  1.531,             0.00048956,             0.00048956,             0.00048956
                    116,                0.76086,                 1.2899,                0.59482,                 1.0017,                0.64963,                0.68271,                0.68697,                0.44541,                 0.6594,                0.64886,                 0.6702,                0.39242,                 1.4123,                 2.7613,                  1.127,                 1.5528,             0.00048406,             0.00048406,             0.00048406
                    117,                 0.8212,                 1.3803,                0.60929,                 1.0176,                0.74416,                0.59596,                 0.6827,                 0.4459,                0.74264,                0.59472,                0.67459,                0.40181,                 1.4322,                 2.6031,                 1.1351,                 1.5585,             0.00047856,             0.00047856,             0.00047856
                    118,                0.79644,                  1.332,                0.59277,                 1.0027,                 0.7832,                0.59616,                0.70601,                0.44375,                0.78221,                0.59613,                0.69052,                0.39487,                 1.4432,                 2.6653,                 1.1076,                 1.5807,             0.00047306,             0.00047306,             0.00047306
                    119,                0.77318,                 1.3107,                0.58082,                 1.0069,                 0.6663,                0.70357,                0.69943,                0.44239,                0.69952,                0.65754,                0.69042,                 0.3881,                 1.4313,                 2.5697,                 1.1053,                 1.5669,             0.00046756,             0.00046756,             0.00046756
                    120,                0.78072,                 1.3284,                0.59513,                  1.012,                0.66504,                0.67165,                0.69606,                0.44408,                0.73291,                0.61164,                0.68636,                0.39646,                 1.4178,                 2.6608,                 1.1901,                 1.5631,             0.00046206,             0.00046206,             0.00046206
                    121,                0.80099,                  1.337,                0.60083,                 1.0094,                0.68947,                0.64064,                0.68147,                0.44499,                0.71363,                0.61938,                 0.6684,                0.39127,                 1.4297,                  2.685,                 1.3123,                 1.5558,             0.00045657,             0.00045657,             0.00045657
                    122,                0.76789,                 1.3128,                0.57262,                 1.0048,                0.73413,                0.62319,                0.69695,                0.46277,                0.73707,                0.61678,                  0.691,                0.40907,                 1.4527,                  2.672,                 1.1938,                 1.5619,             0.00045107,             0.00045107,             0.00045107
                    123,                0.74563,                 1.2754,                0.56265,                0.99607,                0.69594,                 0.6919,                0.69825,                0.44431,                0.67228,                0.67904,                0.68363,                0.39005,                 1.4856,                 2.6894,                 1.2386,                 1.5714,             0.00044557,             0.00044557,             0.00044557
                    124,                0.75032,                  1.272,                0.55071,                 0.9929,                0.74371,                0.63497,                0.70254,                0.44806,                0.73935,                 0.6319,                0.68805,                0.40263,                 1.3985,                 2.6991,                 1.2069,                 1.5252,             0.00044007,             0.00044007,             0.00044007
                    125,                0.75433,                 1.2835,                0.55737,                0.99637,                0.68373,                0.62897,                0.68103,                0.44092,                0.72178,                0.61074,                0.67443,                0.39375,                 1.3919,                 2.7505,                 1.2931,                 1.5198,             0.00043457,             0.00043457,             0.00043457
                    126,                0.74046,                 1.2768,                0.54297,                0.98121,                0.75804,                0.62431,                0.70114,                0.45647,                0.74737,                0.60233,                0.67701,                0.40085,                 1.4274,                 2.7685,                 1.1265,                 1.5712,             0.00042907,             0.00042907,             0.00042907
                    127,                0.75258,                 1.2823,                0.55584,                0.99498,                0.64188,                0.70324,                0.69785,                0.45111,                0.64452,                0.70589,                0.69566,                0.39741,                 1.3822,                 2.7637,                 1.0545,                 1.4992,             0.00042357,             0.00042357,             0.00042357
                    128,                0.75407,                 1.2805,                0.54522,                0.99621,                0.76867,                0.60409,                0.69607,                0.44833,                0.76277,                 0.6061,                0.69573,                0.39966,                  1.388,                 2.6718,                 1.1852,                 1.4845,             0.00041807,             0.00041807,             0.00041807
                    129,                0.74119,                 1.2752,                0.54743,                0.98483,                0.71172,                0.63899,                0.68686,                0.44544,                0.71589,                0.62438,                0.66726,                0.38935,                 1.4012,                 2.7943,                 1.2515,                 1.5445,             0.00041257,             0.00041257,             0.00041257
                    130,                0.73563,                 1.2617,                0.53327,                0.97079,                0.71294,                0.67029,                0.70133,                0.45306,                0.70308,                0.66176,                0.68844,                0.39988,                 1.4333,                 2.7641,                 1.1649,                  1.577,             0.00040707,             0.00040707,             0.00040707
                    131,                 0.7343,                 1.2568,                 0.5478,                0.98755,                0.67086,                0.65448,                 0.6817,                0.44318,                0.66238,                0.64539,                0.67023,                0.39135,                 1.4397,                 2.6324,                 1.2251,                 1.5499,             0.00040157,             0.00040157,             0.00040157
                    132,                0.71046,                 1.2407,                0.54465,                0.96756,                0.66262,                0.69097,                0.70479,                0.45914,                 0.6619,                0.68898,                0.69327,                 0.4026,                 1.4304,                 2.7674,                  1.062,                 1.5636,             0.00039607,             0.00039607,             0.00039607
                    133,                0.72287,                 1.2562,                0.52154,                 0.9686,                0.73247,                0.60662,                0.67299,                 0.4464,                0.73845,                 0.6019,                0.66432,                0.39283,                 1.3964,                 2.7311,                 1.1468,                 1.5597,             0.00039057,             0.00039057,             0.00039057
                    134,                0.70905,                 1.2273,                0.52384,                0.97497,                0.62963,                0.67208,                0.66807,                0.44312,                0.62898,                0.66719,                0.66004,                0.38856,                 1.4176,                 2.7132,                 1.2632,                 1.5728,             0.00038507,             0.00038507,             0.00038507
                    135,                0.70927,                 1.1959,                0.50955,                  0.971,                0.71794,                0.63341,                0.68834,                0.45456,                0.70913,                0.62471,                0.67934,                0.40209,                 1.3873,                 2.6618,                 1.1325,                 1.5459,             0.00037957,             0.00037957,             0.00037957
                    136,                0.71065,                 1.2205,                0.50454,                0.97163,                0.68326,                 0.6585,                0.67417,                0.45046,                0.69587,                0.63752,                0.66478,                0.39615,                 1.4308,                 2.7446,                 1.2096,                 1.5792,             0.00037407,             0.00037407,             0.00037407
                    137,                0.69763,                 1.1867,                0.51799,                0.96511,                0.64319,                0.66792,                0.67499,                0.44553,                0.63983,                0.66474,                0.66808,                 0.3899,                  1.407,                 2.8399,                 1.2292,                 1.5664,             0.00036857,             0.00036857,             0.00036857
                    138,                0.71991,                 1.2415,                0.52877,                0.98274,                0.74349,                0.60118,                0.68468,                0.45637,                0.73375,                0.59627,                0.67576,                0.39978,                 1.4415,                 2.7943,                 1.3151,                 1.5822,             0.00036307,             0.00036307,             0.00036307
                    139,                 0.7047,                 1.2145,                0.50778,                 0.9742,                0.72126,                0.62349,                0.68628,                0.45788,                0.71564,                0.61991,                0.67643,                0.39857,                 1.3723,                 2.8985,                 1.1662,                 1.5293,             0.00035758,             0.00035758,             0.00035758
                    140,                0.69312,                 1.2121,                0.50285,                 0.9717,                0.72222,                0.66454,                0.69621,                0.46406,                 0.7216,                0.66159,                0.68715,                0.41083,                  1.392,                 2.8351,                  1.156,                 1.5289,             0.00035208,             0.00035208,             0.00035208
                    141,                0.69843,                 1.2282,                0.51158,                0.96883,                0.68773,                0.67926,                0.69989,                0.46611,                0.67468,                0.66863,                0.68203,                0.40989,                 1.4071,                 2.9245,                 1.1797,                 1.5395,             0.00034658,             0.00034658,             0.00034658
                    142,                0.68228,                 1.1944,                0.50175,                 0.9588,                0.70321,                 0.6485,                 0.6854,                0.45926,                 0.6933,                0.63217,                0.67307,                0.40318,                 1.3612,                 2.7906,                 1.1332,                 1.4718,             0.00034108,             0.00034108,             0.00034108
                    143,                0.69922,                 1.2066,                0.50702,                0.96193,                0.70531,                0.63409,                0.68097,                0.45108,                0.69045,                 0.6515,                0.68198,                0.39971,                 1.4049,                 2.7499,                 1.1466,                 1.5296,             0.00033558,             0.00033558,             0.00033558
                    144,                 0.6911,                 1.1882,                0.49694,                0.95981,                0.74081,                0.61326,                0.69775,                0.46404,                0.75231,                0.61567,                0.69192,                0.40366,                 1.4122,                 2.8065,                 1.2418,                 1.5598,             0.00033008,             0.00033008,             0.00033008
                    145,                0.69541,                 1.1996,                0.51191,                 0.9637,                0.68847,                0.65648,                 0.6856,                 0.4555,                0.69084,                0.64769,                 0.6728,                0.39917,                 1.4283,                 2.7953,                  1.244,                 1.5778,             0.00032458,             0.00032458,             0.00032458
                    146,                0.70185,                 1.1999,                0.51013,                0.95568,                0.75335,                0.58876,                0.67258,                0.44958,                0.75297,                0.58507,                0.67052,                 0.4015,                 1.3918,                 2.7807,                 1.2434,                 1.5375,             0.00031908,             0.00031908,             0.00031908
                    147,                0.66454,                 1.1547,                0.47394,                0.94954,                  0.711,                0.62973,                0.69585,                0.46044,                0.70933,                0.62843,                0.68693,                0.40472,                  1.392,                 2.7901,                 1.1814,                  1.567,             0.00031358,             0.00031358,             0.00031358
                    148,                 0.6539,                 1.1653,                0.47286,                0.94937,                0.65041,                0.68492,                0.68758,                0.45564,                 0.6611,                0.66298,                0.67695,                0.40207,                 1.4144,                 2.8088,                 1.2135,                 1.5746,             0.00030808,             0.00030808,             0.00030808
                    149,                0.66756,                 1.1689,                0.48824,                0.95473,                0.65719,                0.68503,                0.69525,                 0.4595,                0.65134,                0.68044,                0.68976,                0.40773,                 1.4163,                 2.8925,                 1.0949,                 1.5917,             0.00030258,             0.00030258,             0.00030258
                    150,                0.66022,                 1.1569,                0.47597,                0.94829,                 0.7601,                0.59457,                0.68853,                0.45339,                0.66273,                0.65817,                 0.6773,                0.39747,                 1.4427,                 2.8991,                 1.2028,                 1.6052,             0.00029708,             0.00029708,             0.00029708
                    151,                0.67334,                 1.1637,                0.47867,                0.96015,                0.71389,                0.63829,                0.69883,                0.46146,                0.75028,                0.60027,                0.67894,                0.40564,                 1.4546,                 2.8918,                 1.1301,                 1.6159,             0.00029158,             0.00029158,             0.00029158
                    152,                0.66399,                 1.1922,                0.47345,                0.95336,                0.70847,                0.65302,                 0.6813,                0.44436,                0.70345,                0.64192,                0.66552,                0.38808,                 1.4486,                 2.8561,                 1.2172,                 1.5905,             0.00028608,             0.00028608,             0.00028608
                    153,                 0.6688,                 1.1824,                 0.4754,                 0.9525,                0.68221,                0.65274,                0.69412,                0.45531,                0.68215,                0.63684,                0.67738,                0.40117,                 1.4343,                 2.9493,                 1.1855,                 1.5715,             0.00028058,             0.00028058,             0.00028058
                    154,                0.65484,                 1.1364,                0.47072,                0.94654,                0.74549,                0.64593,                0.68889,                0.45967,                0.73765,                0.63978,                0.68407,                0.40375,                 1.4206,                 2.8952,                 1.1903,                  1.577,             0.00027508,             0.00027508,             0.00027508
                    155,                 0.6395,                 1.1084,                0.45755,                0.93447,                0.69163,                 0.6726,                0.68359,                0.44987,                0.68775,                0.66845,                0.67401,                 0.3979,                 1.4356,                 2.8264,                 1.1688,                  1.575,             0.00026958,             0.00026958,             0.00026958
                    156,                0.62996,                 1.1153,                0.44956,                0.92836,                0.71691,                0.64657,                0.68422,                0.45413,                0.71433,                0.64403,                0.67876,                0.39856,                 1.4311,                 2.8583,                 1.2042,                 1.5818,             0.00026408,             0.00026408,             0.00026408
                    157,                0.65685,                 1.1189,                 0.4543,                0.94363,                0.69735,                0.69756,                0.70745,                0.46986,                0.69049,                0.68903,                    0.7,                0.40698,                 1.3835,                 2.9324,                 1.0903,                 1.5576,             0.00025859,             0.00025859,             0.00025859
                    158,                0.64124,                  1.142,                0.45159,                0.94111,                 0.7573,                0.65836,                0.70278,                 0.4714,                0.74832,                0.65475,                0.69324,                0.41473,                 1.3838,                 2.8292,                 1.1295,                 1.5452,             0.00025309,             0.00025309,             0.00025309
                    159,                0.66585,                 1.1538,                0.47132,                0.95251,                0.71903,                0.67355,                0.69002,                0.46482,                0.71632,                0.67153,                0.68483,                0.40853,                   1.41,                 2.9472,                 1.1362,                 1.5687,             0.00024759,             0.00024759,             0.00024759
                    160,                 0.6182,                  1.112,                0.45092,                0.92794,                0.70077,                0.66459,                0.67693,                0.45236,                0.68751,                0.66057,                0.67042,                 0.3916,                 1.3911,                 2.8984,                 1.1994,                 1.5477,             0.00024209,             0.00024209,             0.00024209
                    161,                0.64019,                 1.1311,                0.46979,                0.94496,                0.72917,                 0.6453,                0.69119,                0.46681,                0.71859,                0.63757,                0.67907,                  0.406,                 1.3737,                 2.8576,                 1.1631,                 1.5393,             0.00023659,             0.00023659,             0.00023659
                    162,                0.61136,                 1.0673,                0.43529,                0.92991,                0.68472,                0.65866,                0.67824,                0.46152,                0.68375,                0.65209,                 0.6672,                0.40503,                 1.3817,                 2.8823,                   1.27,                 1.5454,             0.00023109,             0.00023109,             0.00023109
                    163,                0.62479,                 1.1171,                0.43934,                0.94238,                0.70308,                0.65851,                0.67851,                0.45932,                 0.6898,                 0.6463,                0.66304,                0.39487,                 1.3901,                 2.9153,                  1.236,                   1.56,             0.00022559,             0.00022559,             0.00022559
                    164,                0.60355,                 1.0673,                0.42547,                0.92204,                0.73765,                0.65359,                0.68921,                0.46124,                0.71643,                0.63716,                0.66952,                0.40318,                 1.3793,                 2.8784,                 1.2017,                 1.5512,             0.00022009,             0.00022009,             0.00022009
                    165,                0.59597,                 1.0828,                0.42124,                0.92975,                0.74169,                0.64031,                0.69617,                0.47096,                0.72989,                0.63159,                0.68711,                0.41479,                 1.3858,                  3.043,                 1.2032,                 1.5627,             0.00021459,             0.00021459,             0.00021459
                    166,                0.58622,                 1.0297,                0.42459,                0.92712,                0.66845,                0.69039,                0.68893,                0.46229,                0.65903,                0.67633,                0.67105,                0.39722,                 1.3765,                  3.049,                 1.1772,                 1.5401,             0.00020909,             0.00020909,             0.00020909
                    167,                0.59594,                 1.0458,                0.42324,                0.91294,                 0.7202,                0.66902,                0.69275,                0.46571,                0.70869,                0.65653,                0.67588,                0.40814,                 1.3835,                  3.044,                   1.21,                 1.5664,             0.00020359,             0.00020359,             0.00020359
                    168,                0.62667,                 1.0849,                0.44092,                0.92978,                0.73901,                0.64282,                0.68594,                0.46088,                0.73369,                0.63857,                0.67891,                0.40677,                 1.4009,                 2.9065,                 1.2174,                 1.5757,             0.00019809,             0.00019809,             0.00019809
                    169,                0.60602,                 1.0767,                0.42959,                0.92493,                0.70064,                0.65949,                 0.6896,                0.45655,                0.67344,                0.64733,                0.66717,                0.40638,                 1.3839,                 2.9228,                  1.333,                 1.5682,             0.00019259,             0.00019259,             0.00019259
                    170,                0.60667,                 1.0622,                0.41422,                0.91705,                 0.7226,                0.65619,                0.69396,                0.46251,                0.71379,                0.64661,                0.68273,                0.40566,                 1.3845,                 3.0034,                 1.2057,                 1.5697,             0.00018709,             0.00018709,             0.00018709
                    171,                0.59108,                  1.053,                0.41867,                0.92671,                0.71925,                0.67579,                0.69279,                0.46081,                 0.6876,                0.65299,                0.66459,                0.40487,                 1.3624,                 2.9872,                 1.2583,                 1.5535,             0.00018159,             0.00018159,             0.00018159
                    172,                0.60035,                 1.0453,                0.42091,                0.91977,                0.69041,                0.68577,                0.69353,                0.46766,                0.68641,                0.67116,                0.68141,                0.41489,                 1.3703,                 2.9686,                 1.1761,                 1.5522,             0.00017609,             0.00017609,             0.00017609
                    173,                0.59987,                 1.0643,                0.42199,                 0.9262,                0.72488,                0.65314,                0.68156,                0.45124,                0.71379,                0.64315,                0.67289,                0.39956,                 1.3849,                 2.8894,                 1.2641,                 1.5616,             0.00017059,             0.00017059,             0.00017059
                    174,                0.57751,                  1.021,                0.40413,                0.90712,                0.70599,                0.66787,                0.69097,                0.45981,                 0.6941,                0.65576,                0.68009,                0.40769,                  1.394,                 2.9472,                 1.2233,                  1.581,             0.00016509,             0.00016509,             0.00016509
                    175,                0.60206,                 1.0728,                0.42821,                0.92621,                0.70467,                0.66613,                 0.6883,                0.46341,                0.69903,                0.66263,                0.68425,                0.40924,                 1.3998,                 2.9546,                 1.2025,                 1.5916,              0.0001596,              0.0001596,              0.0001596
                    176,                0.58257,                 1.0566,                0.42068,                0.92421,                0.66924,                 0.7005,                0.69135,                0.46318,                0.66387,                0.69263,                0.68259,                0.40912,                 1.4022,                 2.9596,                 1.1676,                 1.5958,              0.0001541,              0.0001541,              0.0001541
                    177,                0.57406,                 1.0396,                0.39897,                0.91506,                0.70199,                0.66447,                0.69618,                0.47138,                0.69645,                0.65765,                0.67934,                 0.4073,                 1.3845,                 2.9992,                 1.1504,                 1.5774,              0.0001486,              0.0001486,              0.0001486
                    178,                0.56853,                 1.0444,                0.40182,                0.91179,                0.67964,                0.67187,                0.69068,                0.47233,                 0.6856,                0.67393,                0.68237,                0.40922,                 1.3561,                  2.962,                 1.1591,                 1.5442,              0.0001431,              0.0001431,              0.0001431
                    179,                0.57923,                 1.0218,                0.41312,                0.91824,                0.68852,                 0.6669,                0.69925,                0.47312,                0.68925,                0.66337,                0.68742,                0.41095,                 1.3545,                 3.0192,                 1.1706,                 1.5501,              0.0001376,              0.0001376,              0.0001376
                    180,                0.55405,                 0.9998,                0.38999,                0.90647,                0.68329,                0.68016,                0.69938,                0.47376,                0.68807,                0.65423,                0.68598,                 0.4169,                 1.3368,                 3.0065,                 1.1221,                 1.5531,              0.0001321,              0.0001321,              0.0001321
                    181,                0.56703,                 1.0093,                0.39258,                0.91307,                0.68283,                0.68655,                0.69096,                 0.4693,                0.66998,                0.67711,                 0.6769,                0.40973,                 1.3206,                  3.034,                 1.1461,                  1.531,              0.0001266,              0.0001266,              0.0001266
                    182,                0.57587,                 1.0311,                0.41294,                0.91473,                0.70618,                0.67064,                0.70363,                0.47731,                0.70684,                0.64514,                0.69234,                0.41724,                 1.3363,                 3.0335,                 1.1459,                 1.5405,              0.0001211,              0.0001211,              0.0001211
                    183,                0.55368,                 1.0059,                0.40063,                0.90765,                 0.7004,                 0.6566,                0.68959,                0.47078,                0.70697,                0.64848,                0.68987,                0.41239,                 1.3558,                 3.0488,                 1.2254,                 1.5608,              0.0001156,              0.0001156,              0.0001156
                    184,                0.55854,                0.99878,                0.38688,                0.91697,                0.73059,                0.65372,                0.68933,                0.46153,                0.71857,                0.63897,                0.67892,                0.40405,                 1.3625,                 3.1002,                 1.2525,                 1.5715,              0.0001101,              0.0001101,              0.0001101
                    185,                0.56162,                 1.0159,                0.39458,                0.90109,                0.71454,                0.65041,                0.70015,                0.47551,                0.71669,                0.64755,                0.69116,                0.41446,                  1.359,                 3.0622,                 1.2351,                 1.5723,              0.0001046,              0.0001046,              0.0001046
                    186,                 0.5765,                 1.0142,                0.39653,                 0.9115,                0.74144,                0.64765,                0.70137,                0.46421,                 0.7304,                0.63647,                0.68819,                 0.4062,                  1.378,                 3.0217,                 1.2484,                 1.5826,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    187,                0.55277,                 1.0214,                0.38651,                0.91904,                 0.7139,                0.68808,                 0.7026,                0.47072,                0.70181,                0.67464,                0.69184,                0.41985,                 1.3362,                 3.0641,                 1.1909,                 1.5393,             9.3602e-05,             9.3602e-05,             9.3602e-05
                    188,                0.52637,                0.93444,                0.36633,                 0.9014,                0.75397,                0.63909,                0.69639,                0.47639,                0.75086,                0.63614,                 0.6883,                0.42076,                 1.3503,                  3.044,                 1.2239,                 1.5478,             8.8102e-05,             8.8102e-05,             8.8102e-05
                    189,                0.56354,                 1.0264,                0.38231,                0.90183,                0.72522,                0.65679,                0.69555,                0.47884,                0.71437,                0.64667,                0.68561,                 0.4177,                 1.3497,                 3.0529,                 1.2377,                 1.5577,             8.2603e-05,             8.2603e-05,             8.2603e-05
                    190,                0.54177,                0.96956,                0.38624,                0.90541,                0.68634,                0.67761,                0.69401,                0.47385,                0.67903,                0.67876,                0.68829,                0.41631,                 1.3484,                 3.0763,                 1.2284,                 1.5569,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    191,                0.51842,                0.97734,                0.33428,                0.87668,                 0.6861,                0.64332,                0.68289,                0.46453,                  0.686,                0.64299,                0.67538,                0.40776,                 1.3594,                 3.0954,                  1.233,                 1.5674,             7.1604e-05,             7.1604e-05,             7.1604e-05
                    192,                0.48287,                0.93669,                0.30653,                0.85628,                0.72901,                0.62516,                0.68876,                0.46833,                0.73266,                0.62773,                0.68647,                0.41649,                 1.3465,                 3.0881,                 1.2136,                 1.5671,             6.6105e-05,             6.6105e-05,             6.6105e-05
                    193,                0.48459,                0.94618,                 0.3103,                0.86247,                0.71093,                0.64134,                0.68668,                0.46838,                0.71071,                0.63966,                0.68014,                0.41262,                 1.3542,                 3.0248,                 1.2438,                 1.5748,             6.0605e-05,             6.0605e-05,             6.0605e-05
                    194,                0.47768,                0.93989,                0.30663,                0.86425,                0.71956,                0.64306,                0.68943,                0.46784,                0.71832,                0.64188,                0.68467,                0.41084,                 1.3481,                 3.0608,                  1.232,                  1.575,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    195,                  0.485,                0.93108,                0.30442,                0.85936,                0.71191,                0.66401,                0.69471,                0.47194,                0.70882,                0.66267,                0.68843,                0.41685,                 1.3485,                 3.1187,                 1.2311,                 1.5894,             4.9606e-05,             4.9606e-05,             4.9606e-05
                    196,                0.47348,                0.91018,                0.30224,                0.85143,                0.72979,                0.64935,                0.69291,                0.47294,                0.72937,                0.64625,                0.68958,                0.41635,                   1.36,                  3.135,                 1.2009,                  1.602,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    197,                0.47562,                0.91332,                0.30736,                0.86071,                0.71495,                0.66142,                0.69371,                0.47093,                 0.7173,                0.65275,                0.69294,                0.41474,                 1.3551,                 3.1323,                 1.1992,                 1.5941,             3.8607e-05,             3.8607e-05,             3.8607e-05
                    198,                0.46735,                0.92125,                0.29792,                0.85095,                0.70398,                0.66003,                0.69447,                 0.4703,                0.69929,                0.65654,                0.69061,                0.41633,                 1.3594,                 3.1375,                  1.225,                  1.602,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    199,                0.46286,                0.90348,                0.30131,                0.85481,                0.70575,                0.66224,                 0.6979,                0.47383,                0.69859,                0.65646,                0.68828,                 0.4174,                 1.3565,                 3.1432,                 1.2275,                 1.6026,             2.7608e-05,             2.7608e-05,             2.7608e-05
                    200,                0.45413,                 0.9002,                0.29115,                0.84104,                0.70749,                0.65702,                0.69885,                0.47429,                0.70981,                0.65056,                0.69587,                0.41866,                 1.3559,                 3.1416,                 1.2248,                 1.5983,             2.2109e-05,             2.2109e-05,             2.2109e-05
